time x1 y1 x2 y2
0.000000000000000000e+00 3.999996808983166119e-01 -5.052536441032881706e-04 7.999447183584253995e-01 6.125508833336813612e-03
1.000000000000000021e-03 3.999996310715033809e-01 -5.432703389621875226e-04 7.999451083778343907e-01 6.060908808447279875e-03
2.000000000000000042e-03 3.999995596123078201e-01 -5.935570400969852846e-04 7.999454749684693500e-01 5.984040539722038261e-03
3.000000000000000062e-03 3.999994618928718881e-01 -6.561138719303662853e-04 7.999458134963874922e-01 5.894904296036645140e-03
4.000000000000000083e-03 3.999993321560054160e-01 -7.309410028645442481e-04 7.999461181967553181e-01 5.793500404226114425e-03
5.000000000000000104e-03 3.999991635150935143e-01 -8.180386454644292911e-04 7.999463821737269331e-01 5.679829252798478285e-03
6.000000000000000125e-03 3.999989479539817205e-01 -9.174070567799356458e-04 7.999465974002850643e-01 5.553891296480406234e-03
7.000000000000000146e-03 3.999986763268361112e-01 -1.029046538807370723e-03 7.999467547180441063e-01 5.415687061595491486e-03
8.000000000000000167e-03 3.999983383579782670e-01 -1.152957439090465620e-03 7.999468438370146428e-01 5.265217152274183701e-03
9.000000000000001055e-03 3.999979226416930933e-01 -1.289140151460785137e-03 7.999468533353271127e-01 5.102482257497454113e-03
1.000000000000000021e-02 3.999974166420076083e-01 -1.437595116917513060e-03 7.999467706589153959e-01 4.927483158973188643e-03
1.099999999999999936e-02 3.999968066924387555e-01 -1.598322824647394535e-03 7.999465821211555472e-01 4.740220739846584021e-03
1.200000000000000025e-02 3.999960779957084100e-01 -1.771323813184345376e-03 7.999462729024625629e-01 4.540695994244983193e-03
1.300000000000000114e-02 3.999952146234225792e-01 -1.956598671709035547e-03 7.999458270498376322e-01 4.328910037657954929e-03
1.400000000000000029e-02 3.999941995157121899e-01 -2.154148041489427606e-03 7.999452274763682036e-01 4.104864118152307118e-03
1.499999999999999944e-02 3.999930144808330201e-01 -2.363972617461277629e-03 7.999444559606756489e-01 3.868559628424693506e-03
1.600000000000000033e-02 3.999916401947209987e-01 -2.586073149949994626e-03 7.999434931463088594e-01 3.619998118691322535e-03
1.700000000000000122e-02 3.999900562004994331e-01 -2.820450446533416967e-03 7.999423185410798887e-01 3.359181310416365068e-03
1.800000000000000211e-02 3.999882409079353329e-01 -3.067105374046407221e-03 7.999409105163399758e-01 3.086111110880298755e-03
1.899999999999999953e-02 3.999861715928401118e-01 -3.326038860727381641e-03 7.999392463061900660e-01 2.800789628589407665e-03
2.000000000000000042e-02 3.999838243964106699e-01 -3.597251898507335902e-03 7.999373020066248285e-01 2.503219189527827997e-03
2.100000000000000130e-02 3.999811743245068607e-01 -3.880745545441585242e-03 7.999350525746029561e-01 2.193402354254337782e-03
2.199999999999999872e-02 3.999781952468604018e-01 -4.176520928285146206e-03 7.999324718270424128e-01 1.871341935845176850e-03
2.299999999999999961e-02 3.999748598962107327e-01 -4.484579245212331165e-03 7.999295324397346363e-01 1.537041018684810918e-03
2.400000000000000050e-02 3.999711398673619911e-01 -4.804921768680573378e-03 7.999262059461724750e-01 1.190502978107930987e-03
2.500000000000000139e-02 3.999670056161568343e-01 -5.137549848440304059e-03 7.999224627362873097e-01 8.317315008936820506e-04
2.600000000000000228e-02 3.999624264583602207e-01 -5.482464914690326346e-03 7.999182720550904735e-01 4.607306066163521091e-04
2.699999999999999969e-02 3.999573705684489333e-01 -5.839668481380914412e-03 7.999136020012125314e-01 7.750466985434988076e-05
2.800000000000000058e-02 3.999518049782988527e-01 -6.209162149664587856e-03 7.999084195253338692e-01 -3.179415567388160432e-04
2.900000000000000147e-02 3.999456955757650367e-01 -6.590947611495841588e-03 7.999026904285020390e-01 -7.256029184976031665e-04
2.999999999999999889e-02 3.999390071031476701e-01 -6.985026653381046398e-03 7.998963793603283134e-01 -1.145473833938414135e-03
3.099999999999999978e-02 3.999317031555360558e-01 -7.391401160279748375e-03 7.998894498170546763e-01 -1.577548269079404389e-03
3.200000000000000067e-02 3.999237461790254855e-01 -7.810073119658475678e-03 7.998818641394886964e-01 -2.021819710882169323e-03
3.300000000000000155e-02 3.999150974687968318e-01 -8.241044625698551451e-03 7.998735835107930736e-01 -2.478281139809982749e-03
3.400000000000000244e-02 3.999057171670536981e-01 -8.684317883659376999e-03 7.998645679541261932e-01 -2.946925001496927127e-03
3.500000000000000333e-02 3.998955642608077454e-01 -9.139895214399059581e-03 7.998547763301231406e-01 -3.427743177522449454e-03
3.600000000000000422e-02 3.998845965795037039e-01 -9.607779059053937407e-03 7.998441663342090724e-01 -3.920726955285150708e-03
3.699999999999999817e-02 3.998727707924765173e-01 -1.008797198387889789e-02 7.998326944937359517e-01 -4.425866996967692084e-03
3.799999999999999906e-02 3.998600424062310754e-01 -1.058047668525048321e-02 7.998203161649328763e-01 -4.943153307586819339e-03
3.899999999999999994e-02 3.998463657615345945e-01 -1.108529599483577127e-02 7.998069855296601194e-01 -5.472575202120489972e-03
4.000000000000000083e-02 3.998316940303141553e-01 -1.160243288492786816e-02 7.997926555919564473e-01 -6.014121271701842325e-03
4.100000000000000172e-02 3.998159792123471834e-01 -1.213189047395238016e-02 7.997772781743690551e-01 -6.567779348872860440e-03
4.200000000000000261e-02 3.997991721317361580e-01 -1.267367203214646125e-02 7.997608039140534641e-01 -7.133536471886883085e-03
4.300000000000000350e-02 3.997812224331566133e-01 -1.322778098741333487e-02 7.997431822586340555e-01 -7.711378848048865142e-03
4.399999999999999745e-02 3.997620785778672747e-01 -1.379422093135664051e-02 7.997243614618094742e-01 -8.301291816083349040e-03
4.499999999999999833e-02 3.997416878394715045e-01 -1.437299562549635736e-02 7.997042885786924682e-01 -8.903259807516307467e-03
4.599999999999999922e-02 3.997199962994177902e-01 -1.496410900767157839e-02 7.996829094608692845e-01 -9.517266307059697034e-03
4.700000000000000011e-02 3.996969488422276173e-01 -1.556756519863275456e-02 7.996601687511637468e-01 -1.014329381198319363e-02
4.800000000000000100e-02 3.996724891504386257e-01 -1.618336850882836839e-02 7.996360098780930237e-01 -1.078132379045941905e-02
4.900000000000000189e-02 3.996465596992486713e-01 -1.681152344539029592e-02 7.996103750499963247e-01 -1.143133663886598470e-02
5.000000000000000278e-02 3.996191017508492482e-01 -1.745203471932244704e-02 7.995832052488232033e-01 -1.209331163802831663e-02
5.100000000000000366e-02 3.995900553484332818e-01 -1.810490725289809477e-02 7.995544402235617021e-01 -1.276722690838460149e-02
5.200000000000000455e-02 3.995593593098633600e-01 -1.877014618727135264e-02 7.995240184832888009e-01 -1.345305936405394656e-02
5.299999999999999850e-02 3.995269512209851936e-01 -1.944775689030835489e-02 7.994918772898251813e-01 -1.415078466578787927e-02
5.399999999999999939e-02 3.994927674285717600e-01 -2.013774496464443980e-02 7.994579526499725475e-01 -1.486037717278228254e-02
5.500000000000000028e-02 3.994567430328814783e-01 -2.084011625597449735e-02 7.994221793073132964e-01 -1.558180989332833694e-02
5.600000000000000117e-02 3.994188118798137066e-01 -2.155487686158248650e-02 7.993844907335502237e-01 -1.631505443427633262e-02
5.700000000000000205e-02 3.993789065526460735e-01 -2.228203313911930258e-02 7.993448191193636143e-01 -1.706008094928791741e-02
5.800000000000000294e-02 3.993369583633333275e-01 -2.302159171563535056e-02 7.993030953647586312e-01 -1.781685808584797595e-02
5.900000000000000383e-02 3.992928973433517714e-01 -2.377355949687755959e-02 7.992592490688812390e-01 -1.858535293100744418e-02
5.999999999999999778e-02 3.992466522340685220e-01 -2.453794367685999123e-02 7.992132085192700242e-01 -1.936553095582561890e-02
6.099999999999999867e-02 3.991981504766166644e-01 -2.531475174771703751e-02 7.991649006805219280e-01 -2.015735595847905834e-02
6.199999999999999956e-02 3.991473182012547083e-01 -2.610399150985068945e-02 7.991142511823335903e-01 -2.096079000600244852e-02
6.300000000000000044e-02 3.990940802161899725e-01 -2.690567108238239510e-02 7.990611843068932130e-01 -2.177579337462363235e-02
6.400000000000000133e-02 3.990383599958426952e-01 -2.771979891392151868e-02 7.990056229755855277e-01 -2.260232448865354127e-02
6.500000000000000222e-02 3.989800796685279427e-01 -2.854638379366307432e-02 7.989474887349741206e-01 -2.344033985788985738e-02
6.600000000000000311e-02 3.989191600035306151e-01 -2.938543486282872708e-02 7.988867017420253624e-01 -2.428979401348974401e-02
6.700000000000000400e-02 3.988555203975491237e-01 -3.023696162646449803e-02 7.988231807485312030e-01 -2.515063944226462317e-02
6.800000000000000488e-02 3.987890788604803172e-01 -3.110097396561152527e-02 7.987568430846913037e-01 -2.602282651934737651e-02
6.900000000000000577e-02 3.987197520005185680e-01 -3.197748214986596144e-02 7.986876046418081021e-01 -2.690630343917959494e-02
7.000000000000000666e-02 3.986474550085404300e-01 -3.286649685034520596e-02 7.986153798540477355e-01 -2.780101614476259211e-02
7.100000000000000755e-02 3.985721016417440588e-01 -3.376802915307967196e-02 7.985400816792167511e-01 -2.870690825511363134e-02
7.200000000000000844e-02 3.984936042065125306e-01 -3.468209057284969005e-02 7.984616215785018678e-01 -2.962392099086349692e-02
7.299999999999999545e-02 3.984118735404673650e-01 -3.560869306748921936e-02 7.983799094951145037e-01 -3.055199309793095799e-02
7.399999999999999634e-02 3.983268189936784442e-01 -3.654784905267817463e-02 7.982948538317841125e-01 -3.149106076920110686e-02
7.499999999999999722e-02 3.982383484089931924e-01 -3.749957141724908488e-02 7.982063614270318297e-01 -3.244105756413523389e-02
7.599999999999999811e-02 3.981463681014474898e-01 -3.846387353903266138e-02 7.981143375301604781e-01 -3.340191432623196288e-02
7.699999999999999900e-02 3.980507828367179091e-01 -3.944076930127056457e-02 7.980186857748892137e-01 -3.437355909825565159e-02
7.799999999999999989e-02 3.979514958085735854e-01 -4.043027310962507559e-02 7.979193081515537633e-01 -3.535591703514344430e-02
7.900000000000000078e-02 3.978484086152828114e-01 -4.143239990981688325e-02 7.978161049777944269e-01 -3.634891031449663523e-02
8.000000000000000167e-02 3.977414212349286160e-01 -4.244716520592500819e-02 7.977089748676451375e-01 -3.735245804455564894e-02
8.100000000000000255e-02 3.976304319995834224e-01 -4.347458507938493921e-02 7.975978146989297635e-01 -3.836647616955334017e-02
8.200000000000000344e-02 3.975153375682911605e-01 -4.451467620872405495e-02 7.974825195788708410e-01 -3.939087737233312736e-02
8.300000000000000433e-02 3.973960328988024870e-01 -4.556745589007454161e-02 7.973629828078055981e-01 -4.042557097411240974e-02
8.400000000000000522e-02 3.972724112180050504e-01 -4.663294205850961049e-02 7.972390958408974715e-01 -4.147046283126444577e-02
8.500000000000000611e-02 3.971443639909874590e-01 -4.771115331024897849e-02 7.971107482477272077e-01 -4.252545522898353719e-02
8.600000000000000699e-02 3.970117808886730604e-01 -4.880210892578554921e-02 7.969778276696362074e-01 -4.359044677169039705e-02
8.700000000000000788e-02 3.968745497539545308e-01 -4.990582889398662014e-02 7.968402197746879967e-01 -4.466533227002483786e-02
8.799999999999999489e-02 3.967325565662565001e-01 -5.102233393722888088e-02 7.966978082101041636e-01 -4.575000262426467262e-02
8.899999999999999578e-02 3.965856854044502167e-01 -5.215164553762875743e-02 7.965504745520217700e-01 -4.684434470399741202e-02
8.999999999999999667e-02 3.964338184080375971e-01 -5.329378596443578447e-02 7.963980982524088148e-01 -4.794824122386263238e-02
9.099999999999999756e-02 3.962768357365185623e-01 -5.444877830266078855e-02 7.962405565829622223e-01 -4.906157061516959461e-02
9.199999999999999845e-02 3.961146155268489011e-01 -5.561664648301554298e-02 7.960777245757996168e-01 -5.018420689318223160e-02
9.299999999999999933e-02 3.959470338488905727e-01 -5.679741531324750126e-02 7.959094749607482644e-01 -5.131601951985106241e-02
9.400000000000000022e-02 3.957739646587504767e-01 -5.799111051095805908e-02 7.957356780990115785e-01 -5.245687326175618725e-02
9.500000000000000111e-02 3.955952797498947793e-01 -5.919775873800034449e-02 7.955562019129875928e-01 -5.360662804301016132e-02
9.600000000000000200e-02 3.954108487019213913e-01 -6.041738763655929434e-02 7.953709118119884902e-01 -5.476513879285343361e-02
9.700000000000000289e-02 3.952205388268620889e-01 -6.165002586702469922e-02 7.951796706136007309e-01 -5.593225528765669030e-02
9.800000000000000377e-02 3.950242151128799395e-01 -6.289570314777624682e-02 7.949823384603986742e-01 -5.710782198702510359e-02
9.900000000000000466e-02 3.948217401652151515e-01 -6.415445029700871105e-02 7.947787727317084938e-01 -5.829167786367896176e-02
1.000000000000000056e-01 3.946129741442252481e-01 -6.542629927673593304e-02 7.945688279500929818e-01 -5.948365622676360376e-02
1.010000000000000064e-01 3.943977747003520884e-01 -6.671128323912171865e-02 7.943523556822069676e-01 -6.068358453821637993e-02
1.020000000000000073e-01 3.941759969058369895e-01 -6.800943657529893993e-02 7.941292044336418776e-01 -6.189128422179321354e-02
1.030000000000000082e-01 3.939474931829926585e-01 -6.932079496684956377e-02 7.938992195373519856e-01 -6.310657046432971429e-02
1.040000000000000091e-01 3.937121132288251557e-01 -7.064539544013301309e-02 7.936622430352231472e-01 -6.432925200878139571e-02
1.049999999999999961e-01 3.934697039357850090e-01 -7.198327642366476875e-02 7.934181135523081796e-01 -6.555913093855555984e-02
1.059999999999999970e-01 3.932201093084075616e-01 -7.333447780876359290e-02 7.931666661632166271e-01 -6.679600245261128888e-02
1.069999999999999979e-01 3.929631703755875893e-01 -7.469904101370349048e-02 7.929077322501087988e-01 -6.803965463076760978e-02
1.079999999999999988e-01 3.926987250982090227e-01 -7.607700905162671778e-02 7.926411393516934467e-01 -6.928986818861865293e-02
1.089999999999999997e-01 3.924266082718323445e-01 -7.746842660249320112e-02 7.923667110025840454e-01 -7.054641622140775392e-02
1.100000000000000006e-01 3.921466514241157553e-01 -7.887334008936788821e-02 7.920842665623162304e-01 -7.180906393616892647e-02
1.110000000000000014e-01 3.918586827066210532e-01 -8.029179775937060615e-02 7.917936210332663372e-01 -7.307756837138743022e-02
1.120000000000000023e-01 3.915625267806268628e-01 -8.172384976964125469e-02 7.914945848666512518e-01 -7.435167810337776906e-02
1.130000000000000032e-01 3.912580046965382641e-01 -8.316954827870387534e-02 7.911869637557176205e-01 -7.563113293851332630e-02
1.140000000000000041e-01 3.909449337664510082e-01 -8.462894754364638783e-02 7.908705584151551893e-01 -7.691566359037751988e-02
1.150000000000000050e-01 3.906231274293863187e-01 -8.610210402356860415e-02 7.905451643456784527e-01 -7.820499134083108705e-02
1.160000000000000059e-01 3.902923951086741394e-01 -8.758907648979180616e-02 7.902105715826360788e-01 -7.949882768391268451e-02
1.170000000000000068e-01 3.899525420609145643e-01 -8.908992614336747051e-02 7.898665644273994424e-01 -8.079687395140194850e-02
1.180000000000000077e-01 3.896033692158977768e-01 -9.060471674047010371e-02 7.895129211601725761e-01 -8.209882091878152599e-02
1.190000000000000085e-01 3.892446730068069849e-01 -9.213351472631395311e-02 7.891494137327416114e-01 -8.340434839022889402e-02
1.199999999999999956e-01 3.888762451899663852e-01 -9.367638937829086965e-02 7.887758074395433416e-01 -8.471312476115928913e-02
1.209999999999999964e-01 3.884978726533296900e-01 -9.523341295909339144e-02 7.883918605652837641e-01 -8.602480655671478071e-02
1.219999999999999973e-01 3.881093372128285868e-01 -9.680466088065670105e-02 7.879973240071680429e-01 -8.733903794446071234e-02
1.229999999999999982e-01 3.877104153956161259e-01 -9.839021187983489070e-02 7.875919408696177015e-01 -8.865545021940281212e-02
1.239999999999999991e-01 3.873008782091507118e-01 -9.999014820681385862e-02 7.871754460291482403e-01 -8.997366125927408476e-02
1.250000000000000000e-01 3.868804908949594057e-01 -1.016045558273606653e-01 7.867475656668442285e-01 -9.129327494786283748e-02
1.260000000000000009e-01 3.864490126658081670e-01 -1.032335246401190204e-01 7.863080167656228969e-01 -9.261388056395607193e-02
1.270000000000000018e-01 3.860061964248785449e-01 -1.048771487102796440e-01 7.858565065691862639e-01 -9.393505213325455128e-02
1.280000000000000027e-01 3.855517884654071636e-01 -1.065355265210903984e-01 7.853927319992488609e-01 -9.525634774037861074e-02
1.290000000000000036e-01 3.850855281490876969e-01 -1.082087612448187353e-01 7.849163790272724039e-01 -9.657730879781675770e-02
1.300000000000000044e-01 3.846071475613563329e-01 -1.098969610349490172e-01 7.844271219965439634e-01 -9.789745926837994938e-02
1.310000000000000053e-01 3.841163711414832815e-01 -1.116002393415815447e-01 7.839246228899885427e-01 -9.921630483739836415e-02
1.320000000000000062e-01 3.836129152851716073e-01 -1.133187152522114466e-01 7.834085305386095932e-01 -1.005333320305406564e-01
1.330000000000000071e-01 3.830964879171114279e-01 -1.150525138602999792e-01 7.828784797648922211e-01 -1.018480072727372399e-01
1.340000000000000080e-01 3.825667880306591329e-01 -1.168017666643135222e-01 7.823340904548685693e-01 -1.031597758832459993e-01
1.350000000000000089e-01 3.820235051914910862e-01 -1.185666120002033808e-01 7.817749665518398672e-01 -1.044680610014073613e-01
1.360000000000000098e-01 3.814663190017246741e-01 -1.203471955106326929e-01 7.812006949639399567e-01 -1.057722624370867059e-01
1.370000000000000107e-01 3.808948985205919957e-01 -1.221436706546349255e-01 7.806108443768192684e-01 -1.070717554391883569e-01
