# x2 y2
8.000000000000000444e-01 -4.898587196589413075e-17
7.999999999699263231e-01 -4.904999999603587358e-06
7.999999995188195046e-01 -1.961999997774675907e-05
7.999999975640237349e-01 -4.414499974854933003e-05
7.999999923011120728e-01 -7.847999858925934263e-05
7.999999812038866009e-01 -1.226249946205085369e-04
7.999999610243786474e-01 -1.765799839392052906e-04
7.999999277928482311e-01 -2.403449595031369656e-04
7.999998768177831732e-01 -3.139199097679028455e-04
7.999998026858985423e-01 -3.973048170764443892e-04
7.999996992621347669e-01 -4.904996558000161060e-04
7.999995596896556371e-01 -5.935043902320178300e-04
7.999993763898451959e-01 -7.063189722335323382e-04
7.999991410623034094e-01 -8.289433386311865224e-04
7.999988446848409485e-01 -9.613774083675997398e-04
7.999984775134721948e-01 -1.103621079403527532e-03
7.999980290824061369e-01 -1.255674225372403925e-03
7.999974882040360447e-01 -1.417536691987100706e-03
7.999968429689257032e-01 -1.589208293199336711e-03
7.999960807457935363e-01 -1.770688807110393139e-03
7.999951881814939547e-01 -1.961977971635437204e-03
7.999941512009940414e-01 -2.163075479919122652e-03
7.999929550073476836e-01 -2.373980975503965727e-03
7.999915840816650414e-01 -2.594694047251112565e-03
7.999900221830769098e-01 -2.825214224013841702e-03
7.999882523486943064e-01 -3.065540969063046666e-03
7.999862568935622864e-01 -3.315673674265749455e-03
7.999840174106078727e-01 -3.575611654016239843e-03
7.999815147705809926e-01 -3.845354138919538246e-03
7.999787291219881968e-01 -4.124900269228743387e-03
7.999756398910191635e-01 -4.414249088033967566e-03
7.999722257814640969e-01 -4.713399534205672814e-03
7.999684647746223565e-01 -5.022350435090283324e-03
7.999643341292024257e-01 -5.341100498959866147e-03
7.999598103812100014e-01 -5.669648307214745185e-03
7.999548693438263136e-01 -6.007992306340466208e-03
7.999494861072743435e-01 -6.356130799618480570e-03
7.999436350386734951e-01 -6.714061938590708961e-03
7.999372897818797234e-01 -7.081783714278949704e-03
7.999304232573132278e-01 -7.459293948158727400e-03
7.999230076617706020e-01 -7.846590282888150913e-03
7.999150144682221075e-01 -8.243670172792448569e-03
7.999064144255925157e-01 -8.650530874103126711e-03
7.998971775585240751e-01 -9.067169434954258297e-03
7.998872731671233804e-01 -9.493582685134506829e-03
7.998766698266868147e-01 -9.929767225596027036e-03
7.998653353874081162e-01 -1.037571941772099868e-02
7.998532369740645187e-01 -1.083143537234518110e-02
7.998403409856812418e-01 -1.129691093854052336e-02
7.998266130951721120e-01 -1.177214169215604761e-02
7.998120182489587560e-01 -1.225712292411852873e-02
7.997965206665624827e-01 -1.275184962849285931e-02
7.997800838401719625e-01 -1.325631649030341482e-02
7.997626705341833731e-01 -1.377051787311665831e-02
7.997442427847123447e-01 -1.429444780638618531e-02
7.997247618990759310e-01 -1.482809997256044447e-02
7.997041884552462676e-01 -1.537146769395443882e-02
7.996824823012698147e-01 -1.592454391938620539e-02
7.996596025546562903e-01 -1.648732121057880015e-02
7.996355076017309660e-01 -1.705979172832927659e-02
7.996101550969545446e-01 -1.764194721844486793e-02
7.995835019622028472e-01 -1.823377899744837646e-02
7.995555043860109734e-01 -1.883527793805345532e-02
7.995261178227772714e-01 -1.944643445441092411e-02
7.994952969919260077e-01 -2.006723848712756858e-02
7.994629958770278488e-01 -2.069767948805923199e-02
7.994291677248774874e-01 -2.133774640487800037e-02
7.993937650445243071e-01 -2.198742766541732230e-02
7.993567396062573049e-01 -2.264671116179420643e-02
7.993180424405419426e-01 -2.331558423431199720e-02
7.992776238369059261e-01 -2.399403365514411052e-02
7.992354333427742485e-01 -2.468204561180119966e-02
7.991914197622499438e-01 -2.537960569038316683e-02
7.991455311548412155e-01 -2.608669885861772397e-02
7.990977148341300573e-01 -2.680330944868851775e-02
7.990479173663841417e-01 -2.752942113985346398e-02
7.989960845691066460e-01 -2.826501694085620589e-02
7.989421615095246842e-01 -2.901007917213269810e-02
7.988860925030134563e-01 -2.976458944781526506e-02
7.988278211114541172e-01 -3.052852865753624342e-02
7.987672901415233673e-01 -3.130187694803415049e-02
7.987044416429134319e-01 -3.208461370456376638e-02
7.986392169064788771e-01 -3.287671753211449804e-02
7.985715564623103724e-01 -3.367816623643780233e-02
7.985014000777300724e-01 -3.448893680488799435e-02
7.984286867552097267e-01 -3.530900538707829051e-02
7.983533547302070765e-01 -3.613834727535555902e-02
7.982753414689192084e-01 -3.697693688509624127e-02
7.981945836659493088e-01 -3.782474773482757263e-02
7.981110172418861559e-01 -3.868175242617595544e-02
7.980245773407926846e-01 -3.954792262364705685e-02
7.979351983276010696e-01 -4.042322903424030306e-02
7.978428137854118862e-01 -4.130764138690123932e-02
7.977473565126955712e-01 -4.220112841181531543e-02
7.976487585203917430e-01 -4.310365781954746123e-02
7.975469510289058261e-01 -4.401519628003030399e-02
7.974418644649976518e-01 -4.493570940140461517e-02
7.973334284585610332e-01 -4.586516170871743348e-02
7.972215718392914319e-01 -4.680351662247979327e-02
7.971062226332369383e-01 -4.775073643709028259e-02
7.969873080592312364e-01 -4.870678229912629720e-02
7.968647545252052211e-01 -4.967161418550920804e-02
7.967384876243728264e-01 -5.064519088154684906e-02
7.966084321312896233e-01 -5.162746995885728052e-02
7.964745119977791887e-01 -5.261840775317928182e-02
7.963366503487251391e-01 -5.361795934207353592e-02
7.961947694777247175e-01 -5.462607852251891855e-02
7.960487908426008286e-01 -5.564271778840939459e-02
7.958986350607675231e-01 -5.666782830795462356e-02
7.957442219044492671e-01 -5.770135990099110879e-02
7.955854702957434466e-01 -5.874326101620722107e-02
7.954222983015311055e-01 -5.979347870828742584e-02
7.952546231282228151e-01 -6.085195861498075148e-02
7.950823611163442273e-01 -6.191864493409826586e-02
7.949054277349507647e-01 -6.299348040044494557e-02
7.947237375758722244e-01 -6.407640626269045514e-02
7.945372043477790802e-01 -6.516736226018418621e-02
7.943457408700707045e-01 -6.626628659971943447e-02
7.941492590665775175e-01 -6.737311593225259188e-02
7.939476699590745090e-01 -6.848778532958077481e-02
7.937408836606028029e-01 -6.961022826098520189e-02
7.935288093685921584e-01 -7.074037656984343003e-02
7.933113553577832988e-01 -7.187816045021670763e-02
7.930884289729429604e-01 -7.302350842341714943e-02
7.928599366213684441e-01 -7.417634731455972907e-02
7.926257837651773386e-01 -7.533660222910451565e-02
7.923858749133765311e-01 -7.650419652939291493e-02
7.921401136137085075e-01 -7.767905181118489599e-02
7.918884024442660596e-01 -7.886108788019993709e-02
7.916306430048765108e-01 -8.005022272866747779e-02
7.913667359082448005e-01 -8.124637251189228970e-02
7.910965807708559838e-01 -8.244945152483749984e-02
7.908200762036279308e-01 -8.365937217873192777e-02
7.905371198023138923e-01 -8.487604497770480372e-02
7.902476081376466066e-01 -8.609937849545253041e-02
7.899514367452212804e-01 -8.732927935194170765e-02
7.896485001151132277e-01 -8.856565219015309631e-02
7.893386916812235032e-01 -8.980839965286939452e-02
7.890219038103497562e-01 -9.105742235951141961e-02
7.886980277909778625e-01 -9.231261888302648433e-02
7.883669538217885631e-01 -9.357388572683172923e-02
7.880285709998757770e-01 -9.484111730181646327e-02
7.876827673086719273e-01 -9.611420590340633008e-02
7.873294296055770580e-01 -9.739304168869253320e-02
7.869684436092855284e-01 -9.867751265362856294e-02
7.865996938868087263e-01 -9.996750461029767221e-02
7.862230638401879190e-01 -1.012629011642526000e-01
7.858384356928949099e-01 -1.025635836919308319e-01
7.854456904759170577e-01 -1.038694313181468404e-01
7.850447080135214417e-01 -1.051803208936629985e-01
7.846353669086969518e-01 -1.064961269728407489e-01
7.842175445282715263e-01 -1.078167217913745674e-01
7.837911169876989881e-01 -1.091419752441079444e-01
7.833559591355159224e-01 -1.104717548629343266e-01
7.829119445374659314e-01 -1.118059257947820878e-01
7.824589454602863814e-01 -1.131443507796860010e-01
7.819968328551603065e-01 -1.144868901289431140e-01
7.815254763408284733e-01 -1.158334017033562924e-01
7.810447441863619389e-01 -1.171837408915624573e-01
7.805545032935947702e-01 -1.185377605884473246e-01
7.800546191792152584e-01 -1.198953111736456856e-01
7.795449559565172937e-01 -1.212562404901267182e-01
7.790253763168100143e-01 -1.226203938228639101e-01
7.784957415104893919e-01 -1.239876138775885817e-01
7.779559113277703108e-01 -1.253577407596266069e-01
7.774057440790838047e-01 -1.267306119528174568e-01
7.768450965751374504e-01 -1.281060622985138731e-01
7.762738241066466927e-01 -1.294839239746624626e-01
7.756917804237377645e-01 -1.308640264749633686e-01
7.750988177150242020e-01 -1.322461965881081558e-01
7.744947865863669456e-01 -1.336302583770958563e-01
7.738795360393162515e-01 -1.350160331586252316e-01
7.732529134492480694e-01 -1.364033394825643342e-01
7.726147645431949984e-01 -1.377919931114942320e-01
7.719649333773839217e-01 -1.391818070003307817e-01
7.713032623144846500e-01 -1.405725912760203422e-01
7.706295920005796773e-01 -1.419641532173127607e-01
7.699437613418653736e-01 -1.433562972346112407e-01
7.692456074810916089e-01 -1.447488248499003982e-01
7.685349657737542417e-01 -1.461415346767548640e-01
7.678116697640492427e-01 -1.475342224004297376e-01
7.670755511606031085e-01 -1.489266807580366392e-01
7.663264398119926657e-01 -1.503186995188087738e-01
7.655641636820675888e-01 -1.517100654644583102e-01
7.647885488250911745e-01 -1.531005623696335693e-01
7.639994193607180240e-01 -1.544899709824788525e-01
7.631965974488227333e-01 -1.558780690053072626e-01
7.623799032641986884e-01 -1.572646310753913756e-01
7.615491549711477237e-01 -1.586494287458834751e-01
7.607041686979798545e-01 -1.600322304668741202e-01
7.598447585114438407e-01 -1.614128015666017879e-01
7.589707363911126770e-01 -1.627909042328251621e-01
7.580819122037458779e-01 -1.641662974943741138e-01
7.571780936776542070e-01 -1.655387372028945259e-01
7.562590863770934924e-01 -1.669079760148048930e-01
7.553246936767120667e-01 -1.682737633734835148e-01
7.543747167360826955e-01 -1.696358454917083758e-01
7.534089544743463041e-01 -1.709939653343725274e-01
7.524272035449999230e-01 -1.723478626014991744e-01
7.514292583108587165e-01 -1.736972737115852761e-01
7.504149108192263995e-01 -1.750419317853016687e-01
7.493839507773084607e-01 -1.763815666295821538e-01
7.483361655279032743e-01 -1.777159047221352206e-01
7.472713400254067384e-01 -1.790446691964151515e-01
7.461892568121721858e-01 -1.803675798270914510e-01
7.450896959952602039e-01 -1.816843530160581477e-01
7.439724352236227745e-01 -1.829947017790278796e-01
7.428372496657635882e-01 -1.842983357327570848e-01
7.416839119879146125e-01 -1.855949610829537577e-01
7.405121923327778743e-01 -1.868842806129192291e-01
7.393218582988767551e-01 -1.881659936729817018e-01
7.381126749205625392e-01 -1.894397961707796618e-01
7.368844046487292854e-01 -1.907053805624583931e-01
7.356368073322827605e-01 -1.919624358448444590e-01
7.343696402004182833e-01 -1.932106475486678188e-01
7.330826578457584342e-01 -1.944496977329045195e-01
7.317756122084067005e-01 -1.956792649803140161e-01
7.304482525609721222e-01 -1.968990243942522478e-01
7.291003254946213374e-01 -1.981086475968424632e-01
7.277315749062185368e-01 -1.993078027285900278e-01
7.263417419866124991e-01 -2.004961544495313663e-01
7.249305652101308839e-01 -2.016733639420109914e-01
7.234977803253486162e-01 -2.028390889151828469e-01
7.220431203471904258e-01 -2.039929836113376083e-01
7.205663155504353767e-01 -2.051346988141596328e-01
7.190670934646929968e-01 -2.062638818590223355e-01
7.175451788709155121e-01 -2.073801766454329565e-01
7.160002937995193495e-01 -2.084832236517414616e-01
7.144321575301882943e-01 -2.095726599522338418e-01
7.128404865934296897e-01 -2.106481192367302968e-01
7.112249947739593958e-01 -2.117092318328144818e-01
7.095853931159930017e-01 -2.127556247308234061e-01
7.079213899305194513e-01 -2.137869216117288806e-01
7.062326908046374641e-01 -2.148027428780470705e-01
7.045189986130371285e-01 -2.158027056879145422e-01
7.027800135317058272e-01 -2.167864239924708891e-01
