                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20250506"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188                                      189                                      190                                      191                                      192                                      193                                      194                                      195                                      196                                      197                                      198                                      199                                      200                                      201                                      202                                      203                                      204                                      205                                      206                                      207                                      208                                      209                                      210                                      211                                      212                                      213                                      214                                      215                                      216                                      217                                      218                                      219                                      220                                      221                                      222                                      223                                      224                                      225                                      226                                      227                                      228                                      229                                      230                                      231                                      232                                      233                                      234                                      235                                      236                                      237                                      238                                      239                                      240                                      241                                      242                                      243                                      244                                      245                                      246                                      247                                      248                                      249                                      250                                      251                                      252                                      253                                      254                                      255                                      256                                      257                                      258                                      259                                      260                                      261                                      262                                      263                                      264                                      265                                      266                                      267                                      268                                      269                                      270                                      271                                      272                                      273                                      274                                      275                                      276                                      277                                      278                                      279                                      280                                      281                                      282                                      283                                      284                                      285                                      286                                      287                                      288                                      289                                      290                                      291                                      292                                      293                                      294                                      295                                      296                                      297                                      298                                      299                                      300                                      301                                      302                                      303                                      304                                      305                                      306                                      307                                      308                                      309                                      310                                      311                                      312                                      313                                      314                                      315                                      316                                      317                                      318                                      319                                      320                                      321                                      322                                      323                                      324                                      325                                      326                                      327                                      328                                      329                                      330                                      331                                      332                                      333                                      334                                      335                                      336                                      337                                      338                                      339                                      340                                      341 
                            model_number                                num_zones                                 star_age                             star_age_sec                             star_age_min                              star_age_hr                             star_age_day                                time_step                            time_step_sec                           time_step_days                                   log_dt                               log_dt_sec                              log_dt_days                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Lneu                             log_Lneu_nuc                          log_Lneu_nonnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                             kh_timescale                              effective_T                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                           log_L_div_Ledd                             lum_div_Ledd                              v_surf_km_s                        v_div_csound_surf                           surf_avg_j_rot                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                    surf_avg_v_div_v_crit                   surf_avg_Lrad_div_Ledd                log_rotational_mdot_boost                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                 center_T                               center_Rho                                center_mu                                center_ye                              center_abar                           center_entropy                             center_omega              center_omega_div_omega_crit                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                log_max_T                             total_energy                         log_total_energy                         total_energy_foe                                rel_E_err                            log_rel_E_err                        log_rel_run_E_err               log_total_angular_momentum                               gamma1_min                              num_retries                                num_iters                    num_solver_iterations                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                             burn_type_11                             burn_qtop_11                             burn_type_12                             burn_qtop_12                             burn_type_13                             burn_qtop_13                             burn_type_14                             burn_qtop_14                             burn_type_15                             burn_qtop_15                             burn_type_16                             burn_qtop_16                             burn_type_17                             burn_qtop_17                             burn_type_18                             burn_qtop_18                             burn_type_19                             burn_qtop_19                             burn_type_20                             burn_qtop_20                             burn_type_21                             burn_qtop_21                             burn_type_22                             burn_qtop_22                             burn_type_23                             burn_qtop_23                             burn_type_24                             burn_qtop_24                             burn_type_25                             burn_qtop_25                             burn_type_26                             burn_qtop_26                             burn_type_27                             burn_qtop_27                             burn_type_28                             burn_qtop_28                             burn_type_29                             burn_qtop_29                             burn_type_30                             burn_qtop_30                             burn_type_31                             burn_qtop_31                             burn_type_32                             burn_qtop_32                             burn_type_33                             burn_qtop_33                             burn_type_34                             burn_qtop_34                             burn_type_35                             burn_qtop_35                             burn_type_36                             burn_qtop_36                             burn_type_37                             burn_qtop_37                             burn_type_38                             burn_qtop_38                             burn_type_39                             burn_qtop_39                             burn_type_40                             burn_qtop_40                             burn_type_41                             burn_qtop_41                             burn_type_42                             burn_qtop_42                             burn_type_43                             burn_qtop_43                             burn_type_44                             burn_qtop_44                             burn_type_45                             burn_qtop_45                             burn_type_46                             burn_qtop_46                             burn_type_47                             burn_qtop_47                             burn_type_48                             burn_qtop_48                             burn_type_49                             burn_qtop_49                             burn_type_50                             burn_qtop_50                             burn_type_51                             burn_qtop_51                             burn_type_52                             burn_qtop_52                             burn_type_53                             burn_qtop_53                             burn_type_54                             burn_qtop_54                             burn_type_55                             burn_qtop_55                             burn_type_56                             burn_qtop_56                             burn_type_57                             burn_qtop_57                             burn_type_58                             burn_qtop_58                             burn_type_59                             burn_qtop_59                             burn_type_60                             burn_qtop_60                             burn_type_61                             burn_qtop_61                             burn_type_62                             burn_qtop_62                             burn_type_63                             burn_qtop_63                             burn_type_64                             burn_qtop_64                             burn_type_65                             burn_qtop_65                             burn_type_66                             burn_qtop_66                             burn_type_67                             burn_qtop_67                             burn_type_68                             burn_qtop_68                             burn_type_69                             burn_qtop_69                             burn_type_70                             burn_qtop_70                             burn_type_71                             burn_qtop_71                             burn_type_72                             burn_qtop_72                             burn_type_73                             burn_qtop_73                             burn_type_74                             burn_qtop_74                             burn_type_75                             burn_qtop_75                             burn_type_76                             burn_qtop_76                             burn_type_77                             burn_qtop_77                             burn_type_78                             burn_qtop_78                             burn_type_79                             burn_qtop_79                             burn_type_80                             burn_qtop_80                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                              mix_type_11                              mix_qtop_11                              mix_type_12                              mix_qtop_12                              mix_type_13                              mix_qtop_13                              mix_type_14                              mix_qtop_14                              mix_type_15                              mix_qtop_15                              mix_type_16                              mix_qtop_16                              mix_type_17                              mix_qtop_17                              mix_type_18                              mix_qtop_18                              mix_type_19                              mix_qtop_19                              mix_type_20                              mix_qtop_20                              mix_type_21                              mix_qtop_21                              mix_type_22                              mix_qtop_22                              mix_type_23                              mix_qtop_23                              mix_type_24                              mix_qtop_24                              mix_type_25                              mix_qtop_25                              mix_type_26                              mix_qtop_26                              mix_type_27                              mix_qtop_27                              mix_type_28                              mix_qtop_28                              mix_type_29                              mix_qtop_29                              mix_type_30                              mix_qtop_30                              mix_type_31                              mix_qtop_31                              mix_type_32                              mix_qtop_32                              mix_type_33                              mix_qtop_33                              mix_type_34                              mix_qtop_34                              mix_type_35                              mix_qtop_35                              mix_type_36                              mix_qtop_36                              mix_type_37                              mix_qtop_37                              mix_type_38                              mix_qtop_38                              mix_type_39                              mix_qtop_39                              mix_type_40                              mix_qtop_40 
                                    2491                                     1621                  2.1523114381733060E+007                  6.7921783441297925E+014                  1.1320297240216320E+013                  1.8867162067027200E+011                  7.8613175279280005E+009                  4.5679708687219186E-005                  1.4415419748677882E+003                  1.6684513598006809E-002                 -4.3402766743755317E+000                  3.1588272927096952E+000                 -1.7776864497691975E+000                  1.2000000000000000E+001                  3.4377687156408292E+001                 -9.8999999999999986E+001                  7.5018654085991157E-006                  9.9705098843517059E-001                  3.9386530951127280E-001                  3.2081400756158218E-001                  2.5517163407080040E-001                  1.0000000000000000E+000                  1.5628885952079230E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.5158589102706594E+000                  5.9632057328789037E+000                  1.1094759473958414E+001                  1.9665915345915998E+001                  1.1936290716878085E+001                  1.0516586493147058E+001                  1.1919445544880762E+001                 -5.7135301133528200E+000                 -5.9527930769927320E+000                  5.9632057328789037E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4598159493412246E+033                  4.5976123678660725E+033                  4.8601641607262738E+033                  4.9346924732854597E+033                  5.3757132175683523E+033                  5.5212949557631645E+033                  4.5981610630342020E+000                  2.9283753090456108E+000                  2.7918045350929597E+000                  1.0776959311651473E+000                  8.3117362452799193E-001                  3.0502871699416531E+001                  3.0998746796718156E+003                  3.4913441367287437E+000                  1.0093114264131899E+005                  5.0040251899282699E+000                  3.0419774823711445E+000                 -5.6670609139153172E-001                 -2.9066713676887241E+000                  1.2397343434478079E-003                  1.8253647787500705E-002                  3.5028073220517686E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  9.6063256590764379E+000                  7.8767827126304057E+000                  2.5259873910030830E+001                  7.8767827126304057E+000                  9.6063256590764379E+000                  4.0394818309821124E+009                  7.5297873715085566E+007                  2.0306511721148519E+000                  4.7421409091271116E-001                  5.4828227947034527E+001                  1.4070870013644559E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8206314423214686E-031                  8.1985260770611202E-006                  4.1142527208684317E-012                  2.5175149565354385E-009                  2.5160005251709978E-003                  6.1025508593623131E-003                  4.9362011973809103E+000                  3.8960553766709309E+000                  9.6063256590764379E+000                 -4.8905136459063710E+050                  5.0689354475047494E+001                 -4.8905136459063708E-001                  2.8963390873961772E-012                 -1.1538150594697164E+001                 -3.7137492245344510E+000                 -9.8999999999999986E+001                  1.2461167261475437E+000                                        0                                        7                                        7                                      -13                  4.0432361007228856E-002                                      -12                  8.2867416185840204E-002                                      -11                  1.2935448393069449E-001                                      -12                  1.3222218061526092E-001                                      -11                  1.4769982650932378E-001                                      -10                  1.4783362238985681E-001                                       11                  1.4785109716513556E-001                                       12                  1.4884396316322945E-001                                       11                  1.4932930369344333E-001                                       10                  1.4940467319562165E-001                                      -11                  1.6171578100895223E-001                                      -10                  1.7197795285217132E-001                                       -9                  1.8159510731245443E-001                                       -8                  1.9070646306451977E-001                                       -7                  1.9966245726270371E-001                                       -6                  2.0824618937626624E-001                                        5                  2.0926965456584393E-001                                        6                  2.0939440070752316E-001                                        5                  2.1321950585371585E-001                                        4                  2.1411701178544276E-001                                       -2                  2.1434200469345377E-001                                       -4                  2.1582431231050403E-001                                       -5                  2.2534195962840164E-001                                       -4                  2.3259004652741611E-001                                        5                  2.3294704436816002E-001                                        6                  2.3414239170695031E-001                                        7                  2.3998932757774027E-001                                        8                  2.5189035203223675E-001                                        7                  2.5284864979123400E-001                                        8                  2.5293456614694454E-001                                        7                  2.5467437153213496E-001                                        8                  2.5515311253172185E-001                                        9                  2.5655234290272777E-001                                        8                  2.6034037346030714E-001                                        7                  2.6410443248258236E-001                                        6                  2.6783754653347364E-001                                        5                  2.7152775637347265E-001                                        4                  2.7517718824778387E-001                                        3                  2.7874262200843353E-001                                        2                  2.8210138685739267E-001                                        1                  2.8462112498619113E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                        1                  1.2740211267382214E-003                                        0                  2.9037441945417753E-003                                        1                  7.8026704396702588E-003                                        0                  1.1318098306793492E-002                                        1                  1.7211615853819057E-002                                        2                  1.7967583923101632E-002                                        0                  1.9629935771058416E-002                                        1                  2.2896289279434601E-002                                        0                  3.1826555371761121E-002                                        3                  3.2791457380990645E-002                                        0                  3.6246073722862093E-002                                        1                  3.7750244091806370E-002                                        0                  4.1474765522090500E-002                                        1                  4.3294179977147490E-002                                        7                  6.9487101632010953E-002                                        1                  7.7530606500026980E-002                                        2                  7.7923157669888790E-002                                        3                  7.9075564955912170E-002                                        1                  8.9107388971469748E-002                                        2                  8.9785207187589561E-002                                        0                  1.4770057967801523E-001                                        1                  1.5119586355138062E-001                                        7                  1.8803642775598203E-001                                        1                  1.8976662029578792E-001                                        7                  1.9070646306563457E-001                                        1                  1.9550823197490932E-001                                        7                  1.9865856599693946E-001                                        2                  1.9985943077879090E-001                                        3                  2.0078660243283519E-001                                        1                  2.3230541948578584E-001                                        7                  2.5008420738664322E-001                                        3                  2.5293675108720809E-001                                        1                  3.2212922526273496E-001                                        2                  3.2349242504781717E-001                                        3                  3.2436777051735471E-001                                        0                  3.9063030984115926E-001                                        1                  3.9141792195427949E-001                                        7                  3.9347672678310780E-001                                        1                  9.9753141932157985E-001                                        7                  1.0000000000000000E+000 
                                    2492                                     1622                  2.1523114381781027E+007                  6.7921783441449288E+014                  1.1320297240241549E+013                  1.8867162067069247E+011                  7.8613175279455194E+009                  4.7963694121580155E-005                  1.5136190736111778E+003                  1.7518739277907151E-002                 -4.3190873753055934E+000                  3.1800165917796335E+000                 -1.7564971506992595E+000                  1.2000000000000000E+001                  3.4377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9705098843517059E-001                  3.9386548274476224E-001                  3.2081400756158218E-001                  2.5517208661210783E-001                  1.0000000000000000E+000                  1.5628885957630345E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.5115996238233889E+000                  6.0004543686401837E+000                  1.1069882365074307E+001                  1.9820357960893116E+001                  1.1951366094983394E+001                  1.0502636781991237E+001                  1.1935629914382829E+001                 -5.7122355234468323E+000                 -5.9434380029154177E+000                  6.0004543686401837E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4695798723506227E+033                  4.6089872213835422E+033                  4.8904379719916977E+033                  4.9332128590486358E+033                  5.3821234482630193E+033                  5.5281413596982299E+033                  4.5981610630342020E+000                  2.9283753090456108E+000                  2.7918045350929597E+000                  1.0775566073435545E+000                  8.3117362452799248E-001                  3.0502887613597526E+001                  3.0998741913577705E+003                  3.4913440683156192E+000                  1.0093108633647634E+005                  5.0040249476552843E+000                  3.0419774980609007E+000                 -5.6670612277104382E-001                 -2.9066730054468102E+000                  1.2397296683225140E-003                  1.8289605056387225E-002                  3.5097082562158296E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  9.6088841954489421E+000                  7.9061336005942442E+000                  2.5294044873794039E+001                  7.9061336005942442E+000                  9.6088841954489421E+000                  4.0633496556758890E+009                  8.0562623525284141E+007                  2.0364522217343670E+000                  4.7286210784501742E-001                  5.4981429716927231E+001                  1.3833380700281745E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0517897864840893E-031                  9.0972009390018144E-006                  2.6980756464921157E-012                  1.5747193121868258E-009                  2.5160005251709978E-003                  6.1025508593623131E-003                  4.9362011973809148E+000                  3.8960554169594461E+000                  9.6088841954489421E+000                 -4.9368425652214652E+050                  5.0693449277888810E+001                 -4.9368425652214654E-001                  1.1767758506224177E-012                 -1.1929306252626752E+001                 -3.7178440247069235E+000                 -9.8999999999999986E+001                  1.2461167076937110E+000                                        0                                        7                                        7                                      -13                  4.2427144181950482E-002                                      -12                  8.4212638075988777E-002                                      -11                  1.2934824524367394E-001                                      -12                  1.3303060058373939E-001                                      -11                  1.4765539595808030E-001                                      -10                  1.4767112527104317E-001                                       10                  1.4768752640143371E-001                                       11                  1.4784151799139403E-001                                       12                  1.4921186103067960E-001                                       11                  1.4970336896747563E-001                                      -11                  1.6217502513885107E-001                                      -10                  1.7254115776942958E-001                                       -9                  1.8217441569873694E-001                                       -8                  1.9124961259956197E-001                                       -7                  1.9985943078775759E-001                                       -6                  2.0798759339102751E-001                                        6                  2.0980984945364500E-001                                        5                  2.1363503507250162E-001                                        4                  2.1453311991818680E-001                                       -3                  2.1497135186881466E-001                                       -4                  2.1627922454607174E-001                                       -5                  2.2554362392014449E-001                                       -4                  2.3258395960971176E-001                                        5                  2.3290695211645004E-001                                        6                  2.3404307604306868E-001                                        7                  2.3958122057730799E-001                                        8                  2.5223319623221335E-001                                        7                  2.5281691479501833E-001                                        8                  2.5305963892130096E-001                                        7                  2.5455527946510248E-001                                        8                  2.5514914403848560E-001                                        9                  2.5668185503211044E-001                                        8                  2.6046450502157148E-001                                        7                  2.6424085859190111E-001                                        6                  2.6796834556326610E-001                                        5                  2.7166615402791550E-001                                        4                  2.7530109625251764E-001                                        3                  2.7887651979192124E-001                                        2                  2.8222712179582976E-001                                        1                  2.8475753154751737E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                        0                  2.7404709180675244E-003                                        3                  3.5911757943530710E-003                                        7                  1.0347772431958160E-002                                        1                  1.2306294200084410E-002                                        0                  1.8761155871193282E-002                                        1                  2.3405882148154328E-002                                        7                  3.1969340350086195E-002                                        3                  3.2610053645779832E-002                                        0                  3.6936482629985605E-002                                        3                  3.7788999110209789E-002                                        7                  6.9344827326576625E-002                                        1                  7.2248436967825888E-002                                        0                  7.4807066501395028E-002                                        1                  7.6745511453978982E-002                                        3                  7.7739828432256700E-002                                        0                  8.5258042543070428E-002                                        1                  8.9107268579659102E-002                                        3                  8.9932411060854159E-002                                        0                  1.4770059314893239E-001                                        1                  1.5119588338199996E-001                                        7                  1.8803642775568999E-001                                        1                  1.8976662502874761E-001                                        7                  1.9070646306541295E-001                                        1                  1.9550856865416844E-001                                        7                  1.9835561663485229E-001                                        1                  1.9966226979909976E-001                                        3                  2.0079952090309919E-001                                        1                  2.0609827031003969E-001                                        2                  2.0650419309678120E-001                                        1                  2.3230583521953851E-001                                        7                  2.5008422213083747E-001                                        3                  2.5293708562825312E-001                                        1                  3.2213158809573245E-001                                        2                  3.2349242504781917E-001                                        3                  3.2436777385920706E-001                                        0                  3.9063041151921091E-001                                        1                  3.9141792195427949E-001                                        7                  3.9347696035828239E-001                                        1                  9.9753141681865598E-001                                        7                  1.0000000000000000E+000 
