time x1 y1 x2 y2
0.000000000000000000e+00 4.000000000000000222e-01 -2.449293598294706538e-17 8.000000000000000444e-01 -4.898587196589413075e-17
1.000000000000000021e-02 3.999996992624136327e-01 4.904997234153603107e-04 7.999996992624136549e-01 4.904997234153358077e-04
2.000000000000000042e-02 3.999951882583089868e-01 1.961981192562005632e-03 7.999951882583089535e-01 1.961987092878305413e-03
2.999999999999999889e-02 3.999756418670074032e-01 4.414285114881618538e-03 7.999756418670012081e-01 4.414355909712569179e-03
4.000000000000000083e-02 3.999230274079624836e-01 7.846792265003359537e-03 7.999230274077614444e-01 7.847193297640388601e-03
5.000000000000000278e-02 3.998121359165568989e-01 1.225789434775217436e-02 7.998121359136222130e-01 1.225942659447116188e-02
5.999999999999999778e-02 3.996106606930939775e-01 1.764425856841064094e-02 7.996106606669532990e-01 1.764883159088969852e-02
7.000000000000000666e-02 3.992793570317199059e-01 2.399989684011890473e-02 7.992793568661034076e-01 2.401140740918309910e-02
8.000000000000000167e-02 3.987723246856650361e-01 3.131506130906620833e-02 7.987723238685592309e-01 3.134062856704973588e-02
8.999999999999999667e-02 3.980374594153834322e-01 3.957500350154127128e-02 7.980374560886007718e-01 3.962659251311045211e-02
1.000000000000000056e-01 3.970171200431339975e-01 4.875865454107344149e-02 7.970171084181065790e-01 4.885509116162357890e-02
1.100000000000000006e-01 3.956490507075294816e-01 5.883730682339896600e-02 7.956490148623405201e-01 5.900664716093503848e-02
1.199999999999999956e-01 3.938675826713151640e-01 6.977339980719531043e-02 7.938674831473139237e-01 7.005556853527747374e-02
1.300000000000000044e-01 3.916051153801033413e-01 8.151952899849188028e-02 7.916048627521985459e-01 8.196908684791857913e-02
1.400000000000000133e-01 3.887938438064739155e-01 9.401780160260710117e-02 7.887932506635583207e-01 9.470665135448867733e-02
1.499999999999999944e-01 3.853676624108983706e-01 1.071996491037162935e-01 7.853663624120541531e-01 1.082194517244954440e-01
1.600000000000000033e-01 3.812641418274443361e-01 1.209861734107762210e-01 7.812614624827021181e-01 1.224502323627804229e-01
1.700000000000000122e-01 3.764264504785828636e-01 1.352890512203223650e-01 7.764212260309616420e-01 1.373334413010382504e-01
1.799999999999999933e-01 3.708050866506698018e-01 1.500119585699395963e-01 7.707953998208292301e-01 1.527957276045144031e-01
